author,author_type,url,location,deal_type,accommodation_type,floor,floors_count,rooms_count,total_meters,price,district,street,house_number,underground,residential_complex
Анастасия Дегтярева,realtor,https://www.cian.ru/sale/flat/301294321/,Москва,sale,flat,7,9,3,60.0,22800000,Кунцево,Молодогвардейская ,1К1,Кунцевская,
GRAND ESTATE - Премиальная недвижимость,real_estate_agent,https://www.cian.ru/sale/flat/300539731/,Москва,sale,flat,7,11,3,115.2,51000000,Мещанский,Троицкая ,9К1,Цветной бульвар,
Century 21 Street Realty,real_estate_agent,https://www.cian.ru/sale/flat/300822468/,Москва,sale,flat,5,21,3,116.8,120000000,Пресненский,2-я Звенигородская ,16,Улица 1905 года,Lucky
ID 114339984,homeowner,https://www.cian.ru/sale/flat/303121674/,Москва,sale,flat,9,24,3,74.7,24000000,Митино,Муравская ,44к2,Пятницкое шоссе,Митинский лес
NIKA ESTATE,real_estate_agent,https://www.cian.ru/sale/flat/294106848/,Москва,sale,flat,4,6,3,145.0,167000000,Пресненский,Большой Гнездниковский переулок,3,Пушкинская,Респект
Point Estate Город,real_estate_agent,https://www.cian.ru/sale/flat/300693722/,Москва,sale,flat,6,15,3,118.0,149500000,Хамовники, Усачева,15,Спортивная,Садовые кварталы
Homeapp,real_estate_agent,https://www.cian.ru/sale/flat/301407892/,Москва,sale,flat,4,5,3,72.1,18100000,Кунцево,Ярцевская ,6,Молодёжная,
Kalinka Group,real_estate_agent,https://www.cian.ru/sale/flat/299776865/,Москва,sale,flat,53,75,3,224.0,174070800,Пресненский,набережная Пресненская,8с1,Деловой центр,Город Столиц
Kalinka Group,real_estate_agent,https://www.cian.ru/sale/flat/301124778/,Москва,sale,flat,11,11,3,150.0,195000000,Хамовники, Ефремова,10с1к4/1,Фрунзенская,Садовые кварталы
OPN PARTNER,real_estate_agent,https://www.cian.ru/sale/flat/302438184/,Москва,sale,flat,4,9,3,60.0,16300000,Теплый Стан, Генерала Тюленева,31,Тёплый Стан,
На Петровке,real_estate_agent,https://www.cian.ru/sale/flat/286052480/,Москва,sale,flat,24,65,3,225.0,166324649,Пресненский,набережная Пресненская,8с1,Деловой центр,Город Столиц
Ramenky Realty,real_estate_agent,https://www.cian.ru/sale/flat/303087884/,Москва,sale,flat,11,11,3,150.0,195000000,Хамовники, Ефремова,10к2,Спортивная,Садовые кварталы
BERI,real_estate_agent,https://www.cian.ru/sale/flat/300567591/,Москва,sale,flat,4,5,3,83.4,34490000,Хамовники,Смоленский бульвар,17С1,Смоленская,
Центрис,real_estate_agent,https://www.cian.ru/sale/flat/303087989/,Москва,sale,flat,4,6,3,170.0,178900000,Хамовники, Усачева,11Ж,Спортивная,Садовые кварталы
Kalinka Group,real_estate_agent,https://www.cian.ru/sale/flat/302398135/,Москва,sale,flat,5,17,3,105.0,115500000,Пресненский, Сергея Макеева,9к2,Улица 1905 года,RedSide
Лариса Александрова,realtor,https://www.cian.ru/sale/flat/302558661/,Москва,sale,flat,5,5,3,53.0,11450000,Измайлово,5-я Парковая ,39К4,Первомайская,
Monumental Group,real_estate_agent,https://www.cian.ru/sale/flat/302546295/,Москва,sale,flat,2,5,3,88.0,67490000,Замоскворечье, Малая Ордынка,5/6С2-3,Третьяковская,
Intermark Real Estate,real_estate_agent,https://www.cian.ru/sale/flat/303019745/,Москва,sale,flat,5,6,3,79.2,75000000,Пресненский,Мерзляковский переулок,5/1,Арбатская,
PROНЕДВИЖИМОСТЬ,real_estate_agent,https://www.cian.ru/sale/flat/303441497/,Москва,sale,flat,1,5,3,54.3,12900000,Котловка,Нагорная ,38К2,Нахимовский проспект,
Intermark Real Estate,real_estate_agent,https://www.cian.ru/sale/flat/297681232/,Москва,sale,flat,2,5,3,88.0,67500000,Замоскворечье, Малая Ордынка,5/6С2-3,Третьяковская,
BARNES International Realty,real_estate_agent,https://www.cian.ru/sale/flat/300749905/,Москва,sale,flat,5,9,3,117.0,65500000,Тверской,Большой Каретный переулок,24с2,Цветной бульвар,Каретный плаза
ID 116995633,homeowner,https://www.cian.ru/sale/flat/302484944/,Москва,sale,flat,11,12,3,67.0,36000000,Пресненский, Трехгорный Вал,3,Улица 1905 года,
Whitewill,real_estate_agent,https://www.cian.ru/sale/flat/302109371/,Москва,sale,flat,10,15,3,141.6,175000000,Хамовники,2-я Фрунзенская ,12,Фрунзенская,Пять Звезд
ID 85604823,unknown,https://www.cian.ru/sale/flat/299433436/,Москва,sale,flat,6,15,3,100.0,50000000,Пресненский,Шмитовский проезд,39к8,Шелепиха,Headliner
HOMETOWN REALTY,real_estate_agent,https://www.cian.ru/sale/flat/303457449/,Москва,sale,flat,2,22,3,81.2,20950000,Митино,Пятницкое шоссе,12к3,Волоколамская,
SHOW ME,real_estate_agent,https://www.cian.ru/sale/flat/302059022/,Москва,sale,flat,4,6,3,76.8,49500000,Беговой, 3-я Ямского Поля,9,Белорусская,Art Residence
NIKA ESTATE,real_estate_agent,https://www.cian.ru/sale/flat/302001439/,Москва,sale,flat,7,14,3,95.0,165000000,Хамовники, Усачева,15А,Спортивная,Садовые кварталы
ЕГСН Продажа,real_estate_agent,https://www.cian.ru/sale/flat/302343415/,Москва,sale,flat,5,16,3,75.0,14999000,Дмитровский,Лобненская ,12К3,Лианозово,
Kalinka Group,real_estate_agent,https://www.cian.ru/sale/flat/300733009/,Москва,sale,flat,12,12,3,243.0,350000000,Хамовники, Усачева,11И,Спортивная,Садовые кварталы
NF Group - ex-Knight Frank,real_estate_agent,https://www.cian.ru/sale/flat/302770593/,Москва,sale,flat,11,20,3,97.0,89500000,Пресненский,Дружинниковская ,15,Краснопресненская,SkyView
Екатерина Боброва,realtor,https://www.cian.ru/sale/flat/302655111/,Москва,sale,flat,7,9,3,60.0,21900000,ЛУЧШАЯ квартира в е!Евроремонт3-комн. квартира,60 м²,7/9 этаж,,
BARNES International Realty,real_estate_agent,https://www.cian.ru/sale/flat/289779308/,Москва,sale,flat,5,6,3,200.8,158608980,Тверской,1-й Колобовский переулок,14,Трубная,
На Петровке,real_estate_agent,https://www.cian.ru/sale/flat/281364422/,Москва,sale,flat,11,12,3,171.0,126600000,Пресненский, Красная Пресня,21,Краснопресненская,
ID 63805110,homeowner,https://www.cian.ru/sale/flat/303490014/,Москва,sale,flat,3,5,3,53.7,24900000,Сокольники,3-я Рыбинская ,30,Сокольники,
На Петровке,real_estate_agent,https://www.cian.ru/sale/flat/292932855/,Москва,sale,flat,61,79,3,110.5,125000000,Пресненский,1-й Красногвардейский проезд,22с2,Москва-Сити,NEVA TOWERS
На Петровке,real_estate_agent,https://www.cian.ru/sale/flat/301499482/,Москва,sale,flat,2,5,3,119.4,122000000,Басманный, Машкова,13С1,Красные ворота,Современник
Whitewill,real_estate_agent,https://www.cian.ru/sale/flat/300661318/,Москва,sale,flat,8,29,3,80.0,36500000,Раменки,Мосфильмовская ,74Б,Ломоносовский проспект,Мосфильмовская
MHEstate - Элитная недвижимость,real_estate_agent,https://www.cian.ru/sale/flat/303473970/,Москва,sale,flat,1,16,3,123.0,70000000,Хамовники,Фрунзенская набережная,50,Спортивная,
На Петровке,real_estate_agent,https://www.cian.ru/sale/flat/296278068/,Москва,sale,flat,3,6,3,122.0,110000000,Хамовники,Зубовская ,7,Парк Культуры,Roza Rossa
Estes,real_estate_agent,https://www.cian.ru/sale/flat/301200484/,Москва,sale,flat,3,9,3,57.5,13450000,Вешняки, Молдагуловой,10К3,Вешняки,
SKYEST,real_estate_agent,https://www.cian.ru/sale/flat/299504460/,Москва,sale,flat,8,13,3,102.0,111390000,Хамовники, Усачева,15А,Спортивная,Садовые кварталы
САДОВЫЕ КВАРТАЛЫ,real_estate_agent,https://www.cian.ru/sale/flat/303087921/,Москва,sale,flat,2,8,3,152.2,150000000,Хамовники, Усачева,15А,Спортивная,Садовые кварталы
